;1;2;3;4;5;6;7;8
A01;;;;übersichtlich;;;;
A02;;einfach;;übersichtlich;spannend;interessant;;herkömmlich
A03;;;;;;;konventionell;herkömmlich
A05;;;;;;;;
A06;;;;;;;;
A07;unterstützend;;effizient;;;;;
A08;unterstützend;einfach;;übersichtlich;;;konventionell;herkömmlich
B01;;;;;;;;
A09;;;;;langweilig;uninteressant;;
A10;;;;;;;;
A11;unterstützend;einfach;effizient;übersichtlich;;;;herkömmlich
A12;unterstützend;einfach;effizient;;;interessant;konventionell;
A13;;kompliziert;;;;;;
A14;unterstützend;einfach;ineffizient;übersichtlich;;;konventionell;
A15;;;effizient;;;;originell;
A16;;;;;;;;
A18;;;;;;;;
A04;;;;;;;;
A19;;;;;;;;
A20;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;konventionell;herkömmlich
