Ich kann mir sehr gut vorstellen, das System regelmäßig zu nutzen.;Ich empfinde das System als unnötig komplex.;Ich empfinde das System als einfach zu nutzen.;Ich denke, dass ich technischen Support brauchen würde, um das System zu nutzen.;Ich finde, dass die verschiedenen Funktionen des Systems gut integriert sind.;Ich finde, dass es im System zu viele Inkonsistenzen gibt.;Ich kann mir vorstellen, dass die meisten Leute das System schnell zu beherrschen lernen.;Ich empfinde die Bedienung als sehr umständlich.;Ich habe mich bei der Nutzung des Systems sehr sicher gefühlt.;Ich musste eine Menge Dinge lernen, bevor ich mit dem System arbeiten konnte.
Ja;Eher ja;Eher nein;Ich weiß nicht;Eher nein;Eher nein;Ja;Eher ja;Eher ja;Eher ja
Eher ja;Eher nein;Eher ja;Ich weiß nicht;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein
Ja;Eher ja;Eher nein;Eher nein;Ich weiß nicht;Eher ja;Ich weiß nicht;Eher ja;Eher ja;Eher nein
Eher ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Eher nein
Eher ja;Nein;Eher ja;Eher nein;Eher ja;Ich weiß nicht;Eher ja;Eher nein;Eher ja;Eher nein
Ich weiß nicht;Nein;Eher ja;Nein;Eher ja;Nein;Ja;Eher nein;Eher ja;Eher nein
Ich weiß nicht;Nein;Eher ja;Nein;Ja;Eher nein;Eher ja;Nein;Ja;Nein
Eher nein;Eher nein;Eher nein;Nein;Eher nein;Eher nein;Eher nein;Eher ja;Eher nein;Nein
Eher nein;Eher nein;Eher nein;Nein;Eher ja;Eher nein;Eher nein;Eher nein;Ich weiß nicht;Eher nein
Eher ja;Nein;Ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Eher nein
Ich weiß nicht;Eher nein;Eher ja;Nein;Eher ja;Eher nein;Ich weiß nicht;Eher nein;Eher ja;Nein
Nein;Eher ja;Nein;Eher ja;Nein;Eher ja;Nein;Ja;Nein;Ja
Eher nein;Eher nein;Eher ja;Nein;Eher ja;Eher nein;Ja;Eher nein;Eher ja;Eher nein
Ja;Nein;Ja;Nein;Eher nein;Eher ja;Eher ja;Eher nein;Eher ja;Eher nein
Eher nein;Nein;Eher nein;Eher ja;Eher ja;Eher ja;Eher ja;Nein;Eher ja;Ich weiß nicht
;Eher nein;Eher ja;Ja;Eher ja;Nein;Ich weiß nicht;Eher nein;Ja;Eher nein
Eher ja;Nein;Ja;Nein;Eher ja;Nein;Eher ja;Eher nein;Ja;Nein
Ja;Nein;Ja;Nein;Ja;Ich weiß nicht;Ja;Nein;Ja;Nein
