;Ich kann mir sehr gut vorstellen, das System regelmäßig zu nutzen.;Ich empfinde das System als unnötig komplex.;Ich empfinde das System als einfach zu nutzen.;Ich denke, dass ich technischen Support brauchen würde, um das System zu nutzen.;Ich finde, dass die verschiedenen Funktionen des Systems gut integriert sind.;Ich finde, dass es im System zu viele Inkonsistenzen gibt.;Ich kann mir vorstellen, dass die meisten Leute das System schnell zu beherrschen lernen.;Ich empfinde die Bedienung als sehr umständlich.;Ich habe mich bei der Nutzung des Systems sehr sicher gefühlt.;Ich musste eine Menge Dinge lernen, bevor ich mit dem System arbeiten konnte.
A01;Eher ja;Eher nein;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Nein
A02;Ja;Eher nein;Ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Eher ja
A03;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Nein;Eher ja;Nein;Ja;Nein
A05;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein
A06;Ich weiß nicht;Eher nein;Eher ja;Nein;Ja;Nein;Ja;Eher nein;Eher ja;Nein
A07;Ich weiß nicht;Eher nein;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Nein;Ja;Nein
A08;Nein;Eher nein;Eher ja;Eher ja;Ich weiß nicht;Ich weiß nicht;Eher ja;Nein;Eher nein;Eher ja
B01;Eher ja;Eher nein;Ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein
A09;Eher nein;Nein;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein
A10;Eher ja;Nein;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein
A11;Eher ja;Eher nein;Ja;Nein;Ja;Nein;Ich weiß nicht;Nein;Ja;Nein
A12;Ja;Nein;Ja;Eher nein;Ja;Nein;Eher ja;Nein;Ja;Eher nein
A13;Eher ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein
A14;Ja;Nein;Eher ja;Nein;Eher nein;Eher ja;Eher ja;Eher nein;Eher ja;Nein
A15;Eher ja;Eher nein;Ja;Nein;Ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein
A16;Eher nein;Nein;Eher ja;Nein;Eher ja;Ich weiß nicht;Eher nein;Eher nein;Ja;Eher nein
A18;Nein;Eher nein;Eher nein;Ich weiß nicht;Ja;Eher ja;Eher ja;Eher ja;Eher ja;Eher ja
A04;Eher ja;Eher nein;Eher ja;Ich weiß nicht;Ja;Eher nein;Ja;Eher nein;Eher ja;Eher nein
A19;Ja;Nein;Eher ja;Eher ja;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Eher nein
A20;Eher ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;
A21;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein
A22;Ich weiß nicht;Ich weiß nicht;Eher ja;Eher ja;Ich weiß nicht;Eher nein;Eher ja;Eher nein;Ich weiß nicht;Eher ja
A24;Ich weiß nicht;Eher ja;Eher nein;Ja;Ich weiß nicht;Ich weiß nicht;Eher ja;Eher nein;Eher ja;Nein
A26;Eher ja;Eher nein;Eher ja;Eher ja;Eher ja;Eher nein;Eher ja;Eher nein;Ich weiß nicht;Eher nein
A25;Ja;Ich weiß nicht;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Nein
